@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.016388,0.126054,3.534027,26.182066,59.64963,29.748378,29.901252,0.94682,0.472196,0.474623,57.493773,0.9126,96.3858,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.998913,0.998188,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.998913,0.998951,0.983033,0.984127,0,0,0,0,0,0,3688,63409,8473,98.412698,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.033806,0.178837,7.290106,37.145206,59.64963,344.546296,-284.896666,0.94682,5.468989,-4.522169,55.23417,0.876733,92.597673,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.9875,0.958333,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.987845,0.981365,0.966346,0.968254,0,0,0,0,0,0,3688,63409,8473,96.825397,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,60,3,0,95.238095,4.761905,0,0.896325,0.045606,0.20932,9.834856,43.476858,59.64963,25.761879,33.887751,0.94682,0.408919,0.537901,53.5205,0.849532,89.724781,0.913043,21,0.025,1,0.975,39,0.086957,2,0.954545,0.913043,0.933333,0.89686,0.996739,0.994631,0.952381,0.064337,0.935663,0.047619,0.952434,0.952381,0.952146,0.89686,0.996739,0.996887,0.948148,0.952381,0,0,0,0,0,0,3688,63409,8473,96.825397,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,60,3,0,95.238095,4.761905,0,0.900053,0.047622,0.218218,10.269523,45.324892,59.64963,322.880626,-263.230996,0.94682,5.125089,-4.17827,53.324545,0.846421,89.396271,1,23,0.075,3,0.925,37,0,0,0.884615,1,0.938776,0.904582,0.98587,0.954934,0.952381,0.027381,0.972619,0.047619,0.957875,0.952381,0.952911,0.904582,0.98794,0.980235,0.949907,0.952381,0.001,0,0,0,0,0,3688,63409,8473,95.238095,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.033443,0.17868,7.211934,37.11261,59.64963,227.808207,-168.158576,0.94682,3.616003,-2.669184,55.269947,0.877301,92.657652,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.985326,0.950947,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.989122,0.979446,0.966346,0.968254,0.001,0,0,0,0,0,3688,63409,8473,96.825397,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.031755,0.178174,6.84793,37.007489,59.64963,103.882481,-44.232851,0.94682,1.648928,-0.702109,55.43224,0.879877,92.929729,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.980435,0.942935,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.985266,0.975152,0.965761,0.968254,0,0,0,0,0,0,3688,63409,8473,96.825397,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.034893,0.177909,7.524501,36.952634,59.64963,22.169864,37.479766,0.94682,0.351903,0.594917,55.113133,0.874812,92.394761,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.996739,0.994322,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.996739,0.99682,0.965761,0.968254,0,0,0,0,0,0,3688,63409,8473,96.825397,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,60,3,0,95.238095,4.761905,0,0.900053,0.04773,0.21816,10.292904,45.312837,59.64963,270.576289,-210.926659,0.94682,4.294862,-3.348042,53.314652,0.846264,89.379685,1,23,0.075,3,0.925,37,0,0,0.884615,1,0.938776,0.904582,0.983696,0.949514,0.952381,0.027381,0.972619,0.047619,0.957875,0.952381,0.952911,0.904582,0.986456,0.977879,0.949907,0.952381,0,0,0,0,0,0,3688,63409,8473,95.238095,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,59,4,0,93.650794,6.349206,0,0.863043,0.055863,0.226674,12.046724,47.081331,59.64963,246.935996,-187.286366,0.94682,3.919619,-2.972799,52.206888,0.828681,87.522568,0.913043,21,0.05,2,0.95,38,0.086957,2,0.913043,0.913043,0.913043,0.863043,0.982065,0.945743,0.936508,0.073464,0.926536,0.063492,0.936508,0.936508,0.936508,0.863043,0.985171,0.976143,0.931522,0.936508,0.001,0,0,0,0,0,3688,63409,8473,95.238095,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.016231,0.126006,3.500183,26.172114,59.64963,72.040117,-12.390487,0.94682,1.143494,-0.196674,57.508601,0.912835,96.410658,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.9875,0.958333,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.992676,0.983345,0.983033,0.984127,0.001,0,0,0,0,0,3688,63409,8473,98.412698,50,?
